,labels,chembl_ids,fingerprint_id
0,1,CHEMBL301018,0
1,1,CHEMBL281543,1
2,1,CHEMBL401930,2
3,0,CHEMBL274654,3
4,1,CHEMBL382822,4
5,0,CHEMBL447230,5
6,0,CHEMBL119987,6
7,1,CHEMBL213874,7
8,1,CHEMBL53665,8
9,1,CHEMBL554566,9
10,1,CHEMBL385471,10
11,0,CHEMBL89646,11
12,1,CHEMBL25425,12
13,1,CHEMBL128468,13
14,1,CHEMBL55979,14
15,1,CHEMBL66570,15
16,1,CHEMBL35820,16
17,1,CHEMBL939,17
18,1,CHEMBL31373,18
19,1,CHEMBL215973,19
20,1,CHEMBL89505,20
21,1,CHEMBL113901,21
22,1,CHEMBL76444,22
23,1,CHEMBL29197,23
24,1,CHEMBL345109,24
25,0,CHEMBL326095,25
26,1,CHEMBL243628,26
27,1,CHEMBL343352,27
28,1,CHEMBL311129,28
29,0,CHEMBL67424,29
30,1,CHEMBL460731,30
31,1,CHEMBL131715,31
32,1,CHEMBL2448067,32
33,1,CHEMBL39811,33
34,1,CHEMBL53753,34
35,1,CHEMBL544538,35
36,1,CHEMBL36164,36
37,1,CHEMBL30432,37
38,1,CHEMBL92174,38
39,0,CHEMBL324030,39
40,1,CHEMBL1907763,40
41,1,CHEMBL57347,41
42,0,CHEMBL291979,42
43,1,CHEMBL328879,43
44,1,CHEMBL543661,44
45,1,CHEMBL53203,45
46,1,CHEMBL139095,46
47,0,CHEMBL61278,47
48,1,CHEMBL545315,48
49,1,CHEMBL1204360,49
50,1,CHEMBL103667,50
51,0,CHEMBL21263,51
52,1,CHEMBL281300,52
53,0,CHEMBL334032,53
54,0,CHEMBL331026,54
55,0,CHEMBL289787,55
56,1,CHEMBL309075,56
57,1,CHEMBL341319,57
58,1,CHEMBL173478,58
59,1,CHEMBL363815,59
60,0,CHEMBL539807,60
61,0,CHEMBL10,61
62,0,CHEMBL147761,62
63,1,CHEMBL384711,63
64,1,CHEMBL355857,64
65,1,CHEMBL51659,65
66,1,CHEMBL52784,66
