,chembid,smiles_notation
0,CHEMBL301018,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC
1,CHEMBL281543,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1CCCCN1CCOCC1
2,CHEMBL401930,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12
3,CHEMBL274654,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O
4,CHEMBL382822,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(=O)N(C)C
5,CHEMBL447230,COc1cc2ncnc(N(C)c3cccc(Br)c3)c2cc1OC
6,CHEMBL119987,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2C(=O)O)c1O
7,CHEMBL213874,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCC1CCN(C)CC1
8,CHEMBL53665,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2n1
9,CHEMBL554566,Cc1cccc(N(C)c2ncnc3cc(C)c(C)cc23)c1.Cl
10,CHEMBL385471,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OCC1CCN(C)CC1
11,CHEMBL89646,Cn1cc(Cl)c(/C=C2\C(=O)Nc3ccccc32)n1
12,CHEMBL25425,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1
13,CHEMBL128468,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
14,CHEMBL55979,CC(NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1)c1ccccc1
15,CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1
16,CHEMBL35820,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC
17,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
18,CHEMBL31373,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1
19,CHEMBL215973,COc1cc2c(cc1OC)Oc1ncnc(Nc3ccc4ccccc4c3)c1NC2
20,CHEMBL89505,CC(C)(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)(C)C)c1O
21,CHEMBL113901,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N(C)C
22,CHEMBL76444,Cc1[nH]c2ncnc(N(C)c3cccc(Cl)c3)c2c1C
23,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
24,CHEMBL345109,CN(C)CCCNC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
25,CHEMBL326095,Brc1cccc(Nc2nncc3ccccc23)c1
26,CHEMBL243628,CCOc1cc2ncnc(NC3=CC(=O)C(OCc4ccc(F)c(F)c4)=CC3=O)c2cc1NC(=O)/C=C/CN(C)C
27,CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
28,CHEMBL311129,Cc1c(-c2ccccc2)[nH]c2ncnc(Nc3cccc(Cl)c3)c12
29,CHEMBL67424,COc1cc2cc(-c3ccc(F)c(F)c3)cnc2cc1OC
30,CHEMBL460731,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1
31,CHEMBL131715,CO[C@H]1[C@@H](N(C)C(=O)c2ccc(Cl)cc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
32,CHEMBL2448067,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCCC1.Cl
33,CHEMBL39811,CN(C)CCN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12
34,CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
35,CHEMBL544538,C=C(CN1CCNCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl
36,CHEMBL36164,OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12
37,CHEMBL30432,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1
38,CHEMBL92174,COc1cc2ncnc(Nc3ccccc3Br)c2cc1OC
39,CHEMBL324030,COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O
40,CHEMBL1907763,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC[C@@H]1CCCN(C)C1
41,CHEMBL57347,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC(C)(C)C)nc3n2)CC1
42,CHEMBL291979,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(C#N)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(C#N)ccc21
43,CHEMBL328879,COc1ccc2ncnc(Nc3ccccc3)c2c1
44,CHEMBL543661,COc1cc(Nc2ncnc3cc(OC)c(OC)cc23)cc(OC)c1.Cl
45,CHEMBL53203,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1
46,CHEMBL139095,C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
47,CHEMBL61278,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(C(F)(F)F)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(C(F)(F)F)ccc21
48,CHEMBL545315,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl
49,CHEMBL1204360,COc1cc2ncnc(Nc3ccccc3F)c2cc1OC.Cl
50,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
51,CHEMBL21263,O=C(O)CNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O
52,CHEMBL281300,C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1
53,CHEMBL334032,COc1cc(C=C(C#N)C#N)cc(CS(=O)(=O)c2ccc(C)cc2)c1O
54,CHEMBL331026,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3[nH]2)c1O
55,CHEMBL289787,COc1cccc2c(Nc3cccc(Br)c3)ncnc12
56,CHEMBL309075,NCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1
57,CHEMBL341319,CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1
58,CHEMBL173478,Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(CO)c1
